Initial_MSE,Initial_RMSE,Initial_MAE,Initial_R2 Score,Initial_Model,Initial_Type,Tuned_MSE,Tuned_RMSE,Tuned_MAE,Tuned_R2 Score,Tuned_Model,Tuned_Type
0.13469260125207233,0.3670049063051778,0.2822656439156376,0.30692833777084705,LinearRegression,Initial,0.13419111331241657,0.36632105223753736,0.28223312721213495,0.3095087844820561,RidgeRegression,Tuned
0.13416497717022313,0.36628537668083766,0.28221258350575973,0.30964327011338166,RidgeRegression,Initial,0.14283284064094445,0.3779323228316737,0.2960066839655605,0.26504207830489124,LassoRegression,Tuned
0.15005072971547415,0.38736382086544185,0.3178606135824498,0.22790184690266369,LassoRegression,Initial,0.14259061194757133,0.37761172114696245,0.2938200316629246,0.2662884856175062,ElasticNet,Tuned
0.1479329405503293,0.38462051498890343,0.3091060147835019,0.23879910215865907,ElasticNet,Initial,0.18207536183185025,0.4267028964418337,0.26313014961800024,0.0631165149181987,DecisionTree,Tuned
0.23331755797444392,0.4830295622158585,0.23331755797444392,-0.20055434544595419,DecisionTree,Initial,0.13580058208722476,0.36851130523665726,0.2498972451420896,0.30122713286427594,RandomForestRegressor,Tuned
0.14405802176999527,0.3795497619153453,0.2237008991954567,0.25873780981687,RandomForestRegressor,Initial,0.13329145920794322,0.365091028659899,0.27100757960009925,0.31413802736416296,GradientBoostingRegressor,Tuned
0.1335619950928289,0.365461345552206,0.27116586091496614,0.31274596311054115,GradientBoostingRegressor,Initial,0.15813167476585185,0.39765773570477897,0.2571069881840118,0.18632069124611594,SupportVectorMachine,Tuned
0.19589491624751923,0.4426001765109445,0.2926862482437361,-0.007993118878309113,SupportVectorMachine,Initial,0.15788558679505876,0.39734819339599214,0.2796971131093232,0.1875869567825057,KNearestNeighbors,Tuned
0.1641079034548036,0.4051023370147395,0.27723615712257454,0.15556952367781107,KNearestNeighbors,Initial,0.13307741284370422,0.36479777097702026,0.27034059166908264,0.31523942947387695,XGBoost,Tuned
0.13718785345554352,0.37038877606391907,0.2561076581478119,0.29408878087997437,XGBoost,Initial,0.13558059255853,0.36821270015920143,0.26100465366431136,0.3023591067582255,LightGBM,Tuned
0.1407602679943895,0.3751803139750132,0.26235831034221097,0.2757066683112144,LightGBM,Initial,0.13342228559326844,0.36527015426019743,0.26905188010086745,0.3134648496283563,CatBoost,Tuned
0.13383481459953492,0.36583440871456435,0.2649063714133075,0.31134214829633755,CatBoost,Initial,,,,,,
